#Program: R2: Genomics analysis and visualization platform,,,,
#Website: https://r2.amc.nl,,,,
#Support: r2-support@amsterdamumc.nl,,,,
#Date: 2025-02-22 (19:48:29),,,,
#Comparison: groups,,,,
#Data transformation: transform_log2,,,,
#Dataset: ps_avgpres_broadgbm540_u133a,,,,
#Groups: mesenchymal;proneural,,,,
#Minimal presentcalls: 1,,,,
#Number of lines: 3246,,,,
#Output: anova fdr p<=0.01,,,,
#Pretty_dataset: Tumor Glioblastoma - TCGA - 540 - MAS5.0 - u133a,,,,
"#Subset: subtype~mesenchymal,proneural (n=51)",,,,
#Test: anova,,,,
#Track: subtype,,,,
#Values field: ,,,,
#H:probeset,hugo,corrected-pvalue,log2fc,sublist
204504_s_at,HIRIP3,0.000240153,0.986761575,subtype: mesenchymal < proneural
201389_at,ITGA5,2.32E-09,-1.87724915,subtype: mesenchymal >= proneural
209111_at,RNF5,9.33E-06,0.614841739,subtype: mesenchymal < proneural
209310_s_at,CASP4,2.56E-09,-1.892239784,subtype: mesenchymal >= proneural
209680_s_at,KIFC1,0.001726982,1.502431838,subtype: mesenchymal < proneural
203501_at,CPQ,2.57E-09,-1.482940152,subtype: mesenchymal >= proneural
219324_at,NOL12,0.000521229,0.595044315,subtype: mesenchymal < proneural
203186_s_at,S100A4,3.39E-09,-2.658022446,subtype: mesenchymal >= proneural
218348_s_at,ZC3H7A,0.001127722,0.483030704,subtype: mesenchymal < proneural
203155_at,SETDB1,0.001737828,0.530756811,subtype: mesenchymal < proneural
217388_s_at,KYNU,3.40E-09,-2.319002963,subtype: mesenchymal >= proneural
209318_x_at,PLAGL1,3.44E-09,-1.962358407,subtype: mesenchymal >= proneural
202990_at,PYGL,3.49E-09,-1.559625314,subtype: mesenchymal >= proneural
203912_s_at,DNASE1L1,3.54E-09,-1.324696229,subtype: mesenchymal >= proneural
212675_s_at,CEP68,5.21E-06,0.76623477,subtype: mesenchymal < proneural
202952_s_at,ADAM12,3.56E-09,-2.037624884,subtype: mesenchymal >= proneural
212543_at,AIM1,3.58E-09,-2.542962668,subtype: mesenchymal >= proneural
201954_at,ARPC1B,3.64E-09,-1.705061735,subtype: mesenchymal >= proneural
219989_s_at,ANKS1B,0.005487864,1.515129445,subtype: mesenchymal < proneural
209129_at,TRIP6,3.64E-09,-1.728134813,subtype: mesenchymal >= proneural
214853_s_at,SHC1,3.66E-09,-1.750662763,subtype: mesenchymal >= proneural
207757_at,ZFP2,0.002730274,0.746109817,subtype: mesenchymal < proneural
208659_at,CLIC1,3.69E-09,-1.674308356,subtype: mesenchymal >= proneural
201305_x_at,ANP32B,1.87E-05,0.584330676,subtype: mesenchymal < proneural
214774_x_at,TOX3,2.24E-07,3.519416109,subtype: mesenchymal < proneural
203910_at,ARHGAP29,3.71E-09,-1.659016444,subtype: mesenchymal >= proneural
202180_s_at,MVP,3.84E-09,-1.60022379,subtype: mesenchymal >= proneural
215446_s_at,LOX,3.86E-09,-3.233525406,subtype: mesenchymal >= proneural
204017_at,KDELR3,3.90E-09,-2.931080422,subtype: mesenchymal >= proneural
202878_s_at,CD93,3.92E-09,-1.685176873,subtype: mesenchymal >= proneural
204646_at,DPYD,4.71E-09,-2.38538458,subtype: mesenchymal >= proneural
210845_s_at,PLAUR,4.73E-09,-2.084530879,subtype: mesenchymal >= proneural
207877_s_at,NVL,6.62E-07,0.651197833,subtype: mesenchymal < proneural
205479_s_at,PLAU,4.83E-09,-2.381066924,subtype: mesenchymal >= proneural
52005_at,WIZ,0.000241331,0.556935877,subtype: mesenchymal < proneural
204914_s_at,SOX11,3.49E-06,2.892919065,subtype: mesenchymal < proneural
206111_at,RNASE2,5.47E-09,-2.307370422,subtype: mesenchymal >= proneural
203911_at,RAP1GAP,0.006578132,1.069582097,subtype: mesenchymal < proneural
201126_s_at,MGAT1,5.52E-09,-0.947066882,subtype: mesenchymal >= proneural
215283_at,LINC00667,0.000826549,0.709803043,subtype: mesenchymal < proneural
212067_s_at,C1R,5.89E-09,-2.167510809,subtype: mesenchymal >= proneural
203620_s_at,FCHSD2,0.002411221,0.673408251,subtype: mesenchymal < proneural
203130_s_at,KIF5C,9.47E-06,1.35244849,subtype: mesenchymal < proneural
220088_at,C5AR1,6.02E-09,-2.064025947,subtype: mesenchymal >= proneural
218517_at,PHF17,0.001889393,0.689419,subtype: mesenchymal < proneural
204150_at,STAB1,6.02E-09,-1.939571824,subtype: mesenchymal >= proneural
37408_at,MRC2,6.10E-09,-1.634231208,subtype: mesenchymal >= proneural
208944_at,TGFBR2,6.38E-09,-1.60399369,subtype: mesenchymal >= proneural
217739_s_at,NAMPT,6.43E-09,-2.127874202,subtype: mesenchymal >= proneural
221556_at,CDC14B,0.000326461,0.717215651,subtype: mesenchymal < proneural
205105_at,MAN2A1,6.69E-09,-1.440339973,subtype: mesenchymal >= proneural
204451_at,FZD1,6.79E-09,-1.820129973,subtype: mesenchymal >= proneural
208949_s_at,LGALS3,7.88E-09,-2.413103737,subtype: mesenchymal >= proneural
210015_s_at,MAP2,6.18E-07,1.772101979,subtype: mesenchymal < proneural
207513_s_at,ZNF189,0.002969698,0.38707387,subtype: mesenchymal < proneural
218428_s_at,REV1,0.000196397,0.587200584,subtype: mesenchymal < proneural
218250_s_at,CNOT7,0.00405057,0.293659632,subtype: mesenchymal < proneural
204924_at,TLR2,9.06E-09,-2.228210177,subtype: mesenchymal >= proneural
202948_at,IL1R1,9.34E-09,-2.622299691,subtype: mesenchymal >= proneural
212386_at,TCF4,3.25E-06,0.780199088,subtype: mesenchymal < proneural
203217_s_at,ST3GAL5,0.009234604,0.500246366,subtype: mesenchymal < proneural
208296_x_at,TNFAIP8,9.52E-09,-1.603235088,subtype: mesenchymal >= proneural
203508_at,TNFRSF1B,9.60E-09,-1.465480521,subtype: mesenchymal >= proneural
202803_s_at,ITGB2,9.62E-09,-1.944725086,subtype: mesenchymal >= proneural
202075_s_at,PLTP,9.67E-09,-2.019215421,subtype: mesenchymal >= proneural
214162_at,LOC284244,5.10E-05,2.107937581,subtype: mesenchymal < proneural
204682_at,LTBP2,1.02E-08,-2.110556295,subtype: mesenchymal >= proneural
200678_x_at,GRN,1.02E-08,-1.06662249,subtype: mesenchymal >= proneural
201012_at,ANXA1,1.06E-08,-2.247602346,subtype: mesenchymal >= proneural
221772_s_at,PPP2R2D,0.00251273,0.597668509,subtype: mesenchymal < proneural
203761_at,SLA,1.07E-08,-1.804340401,subtype: mesenchymal >= proneural
217970_s_at,CNOT6,0.004797869,0.481055944,subtype: mesenchymal < proneural
201883_s_at,B4GALT1,1.10E-08,-1.536543633,subtype: mesenchymal >= proneural
218331_s_at,FAM208B,0.001042571,0.620940805,subtype: mesenchymal < proneural
205139_s_at,UST,1.28E-06,1.321620379,subtype: mesenchymal < proneural
201743_at,CD14,1.14E-08,-1.880191586,subtype: mesenchymal >= proneural
201765_s_at,HEXA,1.16E-08,-1.199274173,subtype: mesenchymal >= proneural
202283_at,SERPINF1,1.21E-08,-2.02850483,subtype: mesenchymal >= proneural
200859_x_at,FLNA,1.24E-08,-1.361700053,subtype: mesenchymal >= proneural
203929_s_at,MAPT,3.67E-05,1.726060478,subtype: mesenchymal < proneural
204446_s_at,ALOX5,1.25E-08,-2.155100038,subtype: mesenchymal >= proneural
201524_x_at,UBE2N,0.000252366,0.350278187,subtype: mesenchymal < proneural
52169_at,STRADA,0.000106981,0.397128118,subtype: mesenchymal < proneural
31845_at,ELF4,1.42E-08,-1.617000066,subtype: mesenchymal >= proneural
219801_at,ZNF34,0.004115219,0.562513455,subtype: mesenchymal < proneural
204995_at,CDK5R1,3.00E-09,2.420131397,subtype: mesenchymal < proneural
218454_at,PLBD1,1.46E-08,-1.725913941,subtype: mesenchymal >= proneural
203320_at,SH2B3,1.53E-08,-1.184939362,subtype: mesenchymal >= proneural
212456_at,CLUH,0.002260577,0.44132609,subtype: mesenchymal < proneural
205476_at,CCL20,1.66E-08,-4.850908071,subtype: mesenchymal >= proneural
200660_at,S100A11,1.71E-08,-2.000816499,subtype: mesenchymal >= proneural
201398_s_at,TRAM1,1.71E-08,-0.740414956,subtype: mesenchymal >= proneural
215127_s_at,RBMS1,1.72E-08,-1.14990779,subtype: mesenchymal >= proneural
208146_s_at,CPVL,1.73E-08,-2.081906629,subtype: mesenchymal >= proneural
219093_at,PID1,3.45E-06,1.594450351,subtype: mesenchymal < proneural
202521_at,CTCF,7.52E-05,0.433702984,subtype: mesenchymal < proneural
213034_at,SIK3,0.004833055,0.535625055,subtype: mesenchymal < proneural
200839_s_at,CTSB,1.87E-08,-1.113640233,subtype: mesenchymal >= proneural
213603_s_at,RAC2,1.88E-08,-1.744677232,subtype: mesenchymal >= proneural
203473_at,SLCO2B1,1.95E-08,-1.563412192,subtype: mesenchymal >= proneural
202484_s_at,MBD2,1.97E-08,-0.727492131,subtype: mesenchymal >= proneural
203651_at,ZFYVE16,0.001237701,0.4513311,subtype: mesenchymal < proneural
201952_at,ALCAM,7.37E-08,1.284716212,subtype: mesenchymal < proneural
205541_s_at,GSPT2,0.002275061,0.385422303,subtype: mesenchymal < proneural
218684_at,LRRC8D,0.000167413,0.72283891,subtype: mesenchymal < proneural
217967_s_at,FAM129A,1.99E-08,-2.081654239,subtype: mesenchymal >= proneural
219607_s_at,MS4A4A,2.05E-08,-1.911998612,subtype: mesenchymal >= proneural
212587_s_at,PTPRC,2.07E-08,-1.81952681,subtype: mesenchymal >= proneural
205349_at,GNA15,2.19E-08,-1.678133877,subtype: mesenchymal >= proneural
218618_s_at,FNDC3B,2.20E-08,-1.286473712,subtype: mesenchymal >= proneural
221760_at,MAN1A1,2.32E-08,-2.039205534,subtype: mesenchymal >= proneural
205184_at,GNG4,7.81E-10,2.726672434,subtype: mesenchymal < proneural
221591_s_at,FAM64A,0.000370795,1.393019921,subtype: mesenchymal < proneural
205499_at,SRPX2,2.45E-08,-2.693152145,subtype: mesenchymal >= proneural
212186_at,ACACA,2.98E-05,0.741929679,subtype: mesenchymal < proneural
206404_at,FGF9,3.43E-07,2.3713347,subtype: mesenchymal < proneural
210053_at,TAF5,8.26E-07,0.880532684,subtype: mesenchymal < proneural
210371_s_at,RBBP4,4.90E-05,0.60627167,subtype: mesenchymal < proneural
210414_at,FLRT1,1.26E-07,2.31229095,subtype: mesenchymal < proneural
209606_at,CYTIP,2.45E-08,-1.708860394,subtype: mesenchymal >= proneural
200701_at,NPC2,2.46E-08,-1.397554418,subtype: mesenchymal >= proneural
207643_s_at,TNFRSF1A,2.50E-08,-1.50094335,subtype: mesenchymal >= proneural
208816_x_at,ANXA2P2,2.55E-08,-1.917672581,subtype: mesenchymal >= proneural
213129_s_at,GCSH,0.000963132,0.596623906,subtype: mesenchymal < proneural
221965_at,MPHOSPH9,9.83E-08,0.843294647,subtype: mesenchymal < proneural
210314_x_at,TNFSF13,2.57E-08,-1.672099035,subtype: mesenchymal >= proneural
201331_s_at,STAT6,2.62E-08,-1.064946138,subtype: mesenchymal >= proneural
208405_s_at,CD164,2.65E-08,-0.875178048,subtype: mesenchymal >= proneural
202838_at,FUCA1,2.67E-08,-1.550028868,subtype: mesenchymal >= proneural
212992_at,AHNAK2,2.70E-08,-2.904556141,subtype: mesenchymal >= proneural
202796_at,SYNPO,2.81E-08,-2.869362713,subtype: mesenchymal >= proneural
212502_at,ADO,4.96E-05,0.543036994,subtype: mesenchymal < proneural
210409_at,MLLT4-AS1,0.000272045,1.484994996,subtype: mesenchymal < proneural
218264_at,BCCIP,1.49E-05,0.907881746,subtype: mesenchymal < proneural
206584_at,LY96,2.82E-08,-2.078122312,subtype: mesenchymal >= proneural
218627_at,DRAM1,3.17E-08,-1.548702201,subtype: mesenchymal >= proneural
203887_s_at,THBD,3.30E-08,-1.885619014,subtype: mesenchymal >= proneural
210889_s_at,FCGR2B,3.53E-08,-2.640933185,subtype: mesenchymal >= proneural
55093_at,CHPF2,3.53E-08,-1.004297736,subtype: mesenchymal >= proneural
222364_at,SLC44A1,0.000994299,0.98344569,subtype: mesenchymal < proneural
204795_at,PRR3,1.43E-05,1.220743891,subtype: mesenchymal < proneural
210146_x_at,LILRB2,3.54E-08,-2.060275381,subtype: mesenchymal >= proneural
221229_s_at,TRMT61B,0.006757372,0.284946497,subtype: mesenchymal < proneural
217719_at,EIF3L,0.007953007,0.339113509,subtype: mesenchymal < proneural
212711_at,CAMSAP1,0.000122507,0.742060437,subtype: mesenchymal < proneural
204813_at,MAPK10,0.00053811,0.629107444,subtype: mesenchymal < proneural
204444_at,KIF11,0.000283492,1.192136833,subtype: mesenchymal < proneural
221515_s_at,LCMT1,0.001650071,0.306852738,subtype: mesenchymal < proneural
219886_at,CEP97,0.003142485,1.088334513,subtype: mesenchymal < proneural
202622_s_at,ATXN2,0.004984928,0.329696252,subtype: mesenchymal < proneural
203524_s_at,MPST,0.000166528,0.52068631,subtype: mesenchymal < proneural
211926_s_at,MYH9,3.58E-08,-1.471059859,subtype: mesenchymal >= proneural
204214_s_at,RAB32,3.75E-08,-1.598381058,subtype: mesenchymal >= proneural
202403_s_at,COL1A2,4.01E-08,-2.747831565,subtype: mesenchymal >= proneural
203094_at,MAD2L1BP,4.49E-05,0.462969047,subtype: mesenchymal < proneural
218473_s_at,GLT25D1,4.01E-08,-0.873486668,subtype: mesenchymal >= proneural
208829_at,TAPBP,4.09E-08,-0.905169199,subtype: mesenchymal >= proneural
200058_s_at,SNRNP200,0.000597784,0.372173799,subtype: mesenchymal < proneural
208747_s_at,C1S,4.11E-08,-2.214756968,subtype: mesenchymal >= proneural
201244_s_at,RAF1,1.76E-06,0.559659758,subtype: mesenchymal < proneural
205794_s_at,NOVA1,8.19E-06,1.36976734,subtype: mesenchymal < proneural
212586_at,CAST,4.11E-08,-1.140546429,subtype: mesenchymal >= proneural
202181_at,KIAA0247,4.20E-08,-1.078815009,subtype: mesenchymal >= proneural
211974_x_at,RBPJ,2.98E-05,0.679494854,subtype: mesenchymal < proneural
201422_at,IFI30,4.21E-08,-2.054124565,subtype: mesenchymal >= proneural
201220_x_at,CTBP2,0.006137616,0.365941485,subtype: mesenchymal < proneural
201110_s_at,THBS1,4.22E-08,-3.062931868,subtype: mesenchymal >= proneural
214770_at,MSR1,4.25E-08,-1.675474254,subtype: mesenchymal >= proneural
200986_at,SERPING1,4.44E-08,-1.994847456,subtype: mesenchymal >= proneural
210427_x_at,ANXA2,4.47E-08,-1.912975643,subtype: mesenchymal >= proneural
218109_s_at,MFSD1,4.49E-08,-0.817051477,subtype: mesenchymal >= proneural
212077_at,CALD1,4.54E-08,-1.023575814,subtype: mesenchymal >= proneural
202093_s_at,PAF1,0.004631021,0.286783231,subtype: mesenchymal < proneural
202779_s_at,UBE2S,0.000175686,1.231548073,subtype: mesenchymal < proneural
215005_at,NECAB2,0.00194089,1.454586401,subtype: mesenchymal < proneural
205943_at,TDO2,4.68E-08,-3.038104154,subtype: mesenchymal >= proneural
217730_at,TMBIM1,4.82E-08,-1.64097028,subtype: mesenchymal >= proneural
204908_s_at,BCL3,4.92E-08,-1.489830788,subtype: mesenchymal >= proneural
213196_at,ZNF629,2.71E-05,0.550741134,subtype: mesenchymal < proneural
217867_x_at,BACE2,5.03E-08,-1.677415803,subtype: mesenchymal >= proneural
203854_at,CFI,5.20E-08,-2.170508496,subtype: mesenchymal >= proneural
202917_s_at,S100A8,5.30E-08,-3.138171561,subtype: mesenchymal >= proneural
203087_s_at,KIF2A,0.001127153,0.564280779,subtype: mesenchymal < proneural
205995_x_at,IQCB1,0.001407099,0.447723315,subtype: mesenchymal < proneural
212298_at,NRP1,5.36E-08,-1.93888177,subtype: mesenchymal >= proneural
221835_at,DTX3,0.000237508,2.487904549,subtype: mesenchymal < proneural
204958_at,PLK3,5.40E-08,-1.022194145,subtype: mesenchymal >= proneural
209515_s_at,RAB27A,5.67E-08,-2.378820976,subtype: mesenchymal >= proneural
219708_at,NT5M,0.004510316,0.612824858,subtype: mesenchymal < proneural
213967_at,RALYL,0.001316621,2.386642131,subtype: mesenchymal < proneural
203825_at,BRD3,1.20E-06,1.077398612,subtype: mesenchymal < proneural
212674_s_at,DHX30,0.000167733,0.565364723,subtype: mesenchymal < proneural
208161_s_at,ABCC3,5.70E-08,-3.827051897,subtype: mesenchymal >= proneural
217995_at,SQRDL,5.76E-08,-1.59433974,subtype: mesenchymal >= proneural
205268_s_at,ADD2,0.00033245,1.521928411,subtype: mesenchymal < proneural
213647_at,DNA2,8.30E-05,1.640643583,subtype: mesenchymal < proneural
201204_s_at,RRBP1,5.98E-08,-1.232107374,subtype: mesenchymal >= proneural
209166_s_at,MAN2B1,6.03E-08,-1.064662004,subtype: mesenchymal >= proneural
222119_s_at,FBXO11,4.14E-06,0.567766891,subtype: mesenchymal < proneural
213125_at,OLFML2B,6.14E-08,-1.881601669,subtype: mesenchymal >= proneural
203608_at,ALDH5A1,0.000839668,1.007578881,subtype: mesenchymal < proneural
213825_at,OLIG2,3.67E-09,3.112850694,subtype: mesenchymal < proneural
213313_at,RABGAP1,0.002482612,0.454554536,subtype: mesenchymal < proneural
206492_at,FHIT,0.003260808,0.486357099,subtype: mesenchymal < proneural
202957_at,HCLS1,6.15E-08,-1.502465354,subtype: mesenchymal >= proneural
207984_s_at,MPP2,0.002039927,0.638863415,subtype: mesenchymal < proneural
219124_at,TTI2,7.13E-05,0.423833574,subtype: mesenchymal < proneural
209657_s_at,HSF2,2.34E-05,0.737789172,subtype: mesenchymal < proneural
221234_s_at,BACH2,0.000944636,0.967460717,subtype: mesenchymal < proneural
201666_at,TIMP1,6.18E-08,-2.335415638,subtype: mesenchymal >= proneural
211052_s_at,TBCD,0.005430665,0.455985491,subtype: mesenchymal < proneural
203704_s_at,RREB1,6.21E-08,-1.266576082,subtype: mesenchymal >= proneural
201887_at,IL13RA1,6.82E-08,-1.227995673,subtype: mesenchymal >= proneural
221626_at,ZNF506,0.000807346,0.565193476,subtype: mesenchymal < proneural
209757_s_at,MYCN,2.03E-08,2.492688559,subtype: mesenchymal < proneural
201721_s_at,LAPTM5,7.08E-08,-1.516752502,subtype: mesenchymal >= proneural
200918_s_at,SRPR,7.16E-08,-0.77901875,subtype: mesenchymal >= proneural
201944_at,HEXB,8.01E-08,-1.065607604,subtype: mesenchymal >= proneural
205056_s_at,GPR162,0.001735623,0.904422165,subtype: mesenchymal < proneural
209759_s_at,ECI1,0.001552971,0.529246909,subtype: mesenchymal < proneural
221763_at,JMJD1C,1.80E-05,0.819614971,subtype: mesenchymal < proneural
200083_at,USP22,1.43E-05,0.615105936,subtype: mesenchymal < proneural
214614_at,MNX1,1.76E-06,2.797693494,subtype: mesenchymal < proneural
218831_s_at,FCGRT,8.07E-08,-1.17164766,subtype: mesenchymal >= proneural
202644_s_at,TNFAIP3,8.49E-08,-1.924716601,subtype: mesenchymal >= proneural
210042_s_at,CTSZ,8.59E-08,-1.736844135,subtype: mesenchymal >= proneural
221806_s_at,SETD5,7.37E-06,0.783937042,subtype: mesenchymal < proneural
200661_at,CTSA,8.63E-08,-1.009781892,subtype: mesenchymal >= proneural
218242_s_at,SUV420H1,0.000231597,0.734883261,subtype: mesenchymal < proneural
210389_x_at,TUBD1,0.002379557,0.429801079,subtype: mesenchymal < proneural
219537_x_at,DLL3,1.07E-08,3.450417695,subtype: mesenchymal < proneural
214096_s_at,SHMT2,0.004880999,0.543117491,subtype: mesenchymal < proneural
222196_at,LOC389906,0.002064364,1.742583007,subtype: mesenchymal < proneural
212544_at,ZNHIT3,3.42E-05,0.514757845,subtype: mesenchymal < proneural
201031_s_at,HNRNPH1,0.000824497,0.374199648,subtype: mesenchymal < proneural
202237_at,NNMT,8.65E-08,-3.274154029,subtype: mesenchymal >= proneural
219028_at,HIPK2,0.000957991,0.908235385,subtype: mesenchymal < proneural
209263_x_at,TSPAN4,8.73E-08,-0.852765647,subtype: mesenchymal >= proneural
213866_at,SAMD14,0.002813999,0.911055617,subtype: mesenchymal < proneural
209140_x_at,HLA-B,8.91E-08,-1.107291446,subtype: mesenchymal >= proneural
204608_at,ASL,9.08E-08,-1.155491427,subtype: mesenchymal >= proneural
209949_at,NCF2,9.31E-08,-1.643205613,subtype: mesenchymal >= proneural
212496_s_at,KDM4B,0.001396443,0.597125613,subtype: mesenchymal < proneural
201215_at,PLS3,9.35E-08,-1.478914224,subtype: mesenchymal >= proneural
200060_s_at,RNPS1,5.47E-07,0.666766198,subtype: mesenchymal < proneural
201748_s_at,SAFB,0.00483903,0.519841746,subtype: mesenchymal < proneural
203002_at,AMOTL2,5.37E-05,1.350481289,subtype: mesenchymal < proneural
218084_x_at,FXYD5,9.36E-08,-1.753056026,subtype: mesenchymal >= proneural
35147_at,MCF2L,0.005632381,0.976680822,subtype: mesenchymal < proneural
210423_s_at,SLC11A1,9.42E-08,-1.664014025,subtype: mesenchymal >= proneural
219616_at,ACSS3,9.55E-08,-1.819101717,subtype: mesenchymal >= proneural
214460_at,LSAMP,0.000273132,1.459186327,subtype: mesenchymal < proneural
218816_at,LRRC1,0.001387481,0.801902025,subtype: mesenchymal < proneural
213734_at,RFC5,0.001030747,0.518010782,subtype: mesenchymal < proneural
201549_x_at,KDM5B,7.65E-06,0.805016688,subtype: mesenchymal < proneural
218802_at,CCDC109B,1.00E-07,-1.858773583,subtype: mesenchymal >= proneural
215323_at,LUZP2,1.22E-06,3.571631652,subtype: mesenchymal < proneural
202690_s_at,SNRPD1,0.002033701,0.449043027,subtype: mesenchymal < proneural
209970_x_at,CASP1,1.00E-07,-1.422857693,subtype: mesenchymal >= proneural
203266_s_at,MAP2K4,0.002876577,0.435294294,subtype: mesenchymal < proneural
218232_at,C1QA,1.04E-07,-1.796144503,subtype: mesenchymal >= proneural
210697_at,ZNF257,0.001231212,1.901125396,subtype: mesenchymal < proneural
213373_s_at,CASP8,1.21E-07,-1.483933297,subtype: mesenchymal >= proneural
211395_x_at,FCGR2C,1.23E-07,-2.152093999,subtype: mesenchymal >= proneural
211429_s_at,SERPINA1,1.23E-07,-2.006022755,subtype: mesenchymal >= proneural
208512_s_at,MLLT4,0.003067658,1.57153919,subtype: mesenchymal < proneural
210056_at,RND1,0.002069631,1.300405883,subtype: mesenchymal < proneural
205965_at,BATF,1.24E-07,-2.282138424,subtype: mesenchymal >= proneural
209338_at,TFCP2,0.002236593,0.474634254,subtype: mesenchymal < proneural
222008_at,COL9A1,0.003020175,2.045877659,subtype: mesenchymal < proneural
209396_s_at,CHI3L1,1.25E-07,-3.416550502,subtype: mesenchymal >= proneural
213288_at,MBOAT2,0.000134477,0.845823556,subtype: mesenchymal < proneural
212151_at,PBX1,0.001031754,0.72867542,subtype: mesenchymal < proneural
203690_at,TUBGCP3,0.000196526,0.563723184,subtype: mesenchymal < proneural
220215_at,ZNF669,0.002966095,0.503831519,subtype: mesenchymal < proneural
202592_at,BLOC1S1,0.003960319,0.52023586,subtype: mesenchymal < proneural
218422_s_at,RBM26,0.000967464,0.470916797,subtype: mesenchymal < proneural
204787_at,VSIG4,1.28E-07,-1.851664266,subtype: mesenchymal >= proneural
202369_s_at,TRAM2,1.31E-07,-1.031047762,subtype: mesenchymal >= proneural
203729_at,EMP3,1.31E-07,-2.152157031,subtype: mesenchymal >= proneural
209267_s_at,SLC39A8,1.32E-07,-1.732678543,subtype: mesenchymal >= proneural
204517_at,PPIC,1.33E-07,-1.74085566,subtype: mesenchymal >= proneural
207012_at,MMP16,5.74E-08,2.399160118,subtype: mesenchymal < proneural
212647_at,RRAS,1.34E-07,-1.429704556,subtype: mesenchymal >= proneural
212282_at,TMEM97,1.53E-07,1.144653855,subtype: mesenchymal < proneural
217782_s_at,GPS1,1.25E-05,0.577514857,subtype: mesenchymal < proneural
210785_s_at,THEMIS2,1.39E-07,-1.639458621,subtype: mesenchymal >= proneural
219693_at,AGPAT4,0.005832808,0.519911178,subtype: mesenchymal < proneural
212658_at,LHFPL2,1.40E-07,-1.381947944,subtype: mesenchymal >= proneural
202087_s_at,CTSL1,1.47E-07,-1.361559497,subtype: mesenchymal >= proneural
208789_at,PTRF,1.50E-07,-1.57368696,subtype: mesenchymal >= proneural
207068_at,ZFP37,3.12E-07,0.940084394,subtype: mesenchymal < proneural
38964_r_at,WAS,1.53E-07,-1.190387373,subtype: mesenchymal >= proneural
204393_s_at,ACPP,1.57E-07,-2.370249325,subtype: mesenchymal >= proneural
204556_s_at,DZIP1,0.002953098,0.649617784,subtype: mesenchymal < proneural
205224_at,SURF2,0.003954298,0.512940749,subtype: mesenchymal < proneural
201760_s_at,WSB2,0.000313833,0.437279745,subtype: mesenchymal < proneural
200743_s_at,TPP1,1.58E-07,-1.055656501,subtype: mesenchymal >= proneural
219666_at,MS4A6A,1.60E-07,-1.763167142,subtype: mesenchymal >= proneural
213624_at,SMPDL3A,1.64E-07,-1.296954039,subtype: mesenchymal >= proneural
206280_at,CDH18,0.005272941,1.772242998,subtype: mesenchymal < proneural
218075_at,AAAS,0.001042753,0.608318135,subtype: mesenchymal < proneural
219214_s_at,NT5C,6.23E-05,0.579311222,subtype: mesenchymal < proneural
